   1064918,   0.09326720,  -0.04251373,  -0.76699150
   1064920,   0.08729041,  -0.02994502,  -0.77921009
   1064922,   0.08729041,  -0.01737624,  -0.78531933
   1064924,   0.08131373,  -0.01109189,  -0.79142869
   1064926,   0.07533693,   0.00147688,  -0.79142869
   1064929,   0.06936014,   0.00776124,  -0.79753792
   1064931,   0.06338346,   0.00776124,  -0.78531933
   1064933,   0.05740666,   0.01404560,  -0.78531933
   1064935,   0.05142999,   0.02032995,  -0.77921009
   1064937,   0.04545319,   0.02661431,  -0.79753792
   1064940,   0.03947639,   0.03289866,  -0.80975652
   1064942,   0.02752292,   0.03918302,  -0.82808441
   1064944,   0.02154624,   0.04546738,  -0.83419371
   1064946,   0.00959265,   0.05175173,  -0.85252160
   1064949,   0.00361598,   0.05175173,  -0.88306808
   1064951,  -0.00833756,   0.05803621,  -0.90750527
   1064953,  -0.00833756,   0.05803621,  -0.94416106
   1064955,  -0.01431429,   0.06432056,  -0.96859825
   1064957,  -0.02029109,   0.06432056,  -0.99303544
   1064961,  -0.02029109,   0.06432056,  -1.00525403
   1064963,  -0.02029109,   0.06432056,  -1.01747262
   1064965,  -0.02029109,   0.05175173,  -1.02969122
   1064967,  -0.02626783,   0.05175173,  -1.04801905
   1064970,  -0.02626783,   0.04546738,  -1.06023765
   1064972,  -0.02029109,   0.04546738,  -1.07245624
   1064974,  -0.02029109,   0.03918302,  -1.09078407
   1064976,  -0.02029109,   0.03918302,  -1.09689343
   1064978,  -0.01431429,   0.03918302,  -1.10911202
   1064981,  -0.00236082,   0.04546738,  -1.12133062
   1064983,   0.00959265,   0.04546738,  -1.12743986
   1064985,   0.02154624,   0.06432056,  -1.11522126
   1064987,   0.02752292,   0.07688928,  -1.10911202
   1064989,   0.03947639,   0.08945799,  -1.11522126
   1064992,   0.04545319,   0.10202670,  -1.10911202
   1064994,   0.05142999,   0.11459541,  -1.09078407
   1064996,   0.05740666,   0.12087989,  -1.10911202
   1064998,   0.06936014,   0.12716424,  -1.10911202
   1065001,   0.06936014,   0.12716424,  -1.11522126
   1065004,   0.07533693,   0.12716424,  -1.12743986
   1065006,   0.07533693,   0.12087989,  -1.13354921
   1065008,   0.08131373,   0.11459541,  -1.14576781
   1065010,   0.07533693,   0.10202670,  -1.13354921
   1065013,   0.07533693,   0.09574234,  -1.13965845
   1065015,   0.06936014,   0.08317363,  -1.13354921
   1065017,   0.06338346,   0.07688928,  -1.14576781
   1065019,   0.05142999,   0.06432056,  -1.13965845
   1065021,   0.04545319,   0.05803621,  -1.13965845
   1065024,   0.03947639,   0.04546738,  -1.13965845
   1065026,   0.02752292,   0.03918302,  -1.12743986
   1065028,   0.01556945,   0.03289866,  -1.12743986
   1065030,   0.00959265,   0.02661431,  -1.12133062
   1065032,  -0.00236082,   0.02661431,  -1.10911202
   1065035,  -0.01431429,   0.02032995,  -1.10911202
   1065037,  -0.01431429,   0.02032995,  -1.10911202
   1065039,  -0.01431429,   0.01404560,  -1.10911202
   1065041,  -0.01431429,   0.02032995,  -1.10300279
   1065044,  -0.01431429,   0.01404560,  -1.09689343
   1065047,  -0.01431429,   0.02032995,  -1.09078407
   1065049,  -0.02029109,   0.02032995,  -1.09078407
   1065051,  -0.02029109,   0.02032995,  -1.08467484
   1065053,  -0.03224456,   0.02032995,  -1.09078407
   1065056,  -0.03224456,   0.02032995,  -1.09078407
   1065058,  -0.03224456,   0.02661431,  -1.09689343
   1065060,  -0.04419810,   0.03289866,  -1.09689343
   1065062,  -0.05017483,   0.03289866,  -1.10300279
   1065064,  -0.05615157,   0.03289866,  -1.10300279
   1065067,  -0.06212831,   0.02661431,  -1.10300279
   1065069,  -0.06810504,   0.02661431,  -1.10911202
   1065071,  -0.06810504,   0.03918302,  -1.10911202
   1065073,  -0.06810504,   0.03918302,  -1.11522126
   1065076,  -0.06810504,   0.03918302,  -1.11522126
   1065078,  -0.07408184,   0.03918302,  -1.11522126
   1065080,  -0.06810504,   0.03918302,  -1.10911202
   1065082,  -0.07408184,   0.03918302,  -1.11522126
   1065084,  -0.07408184,   0.04546738,  -1.11522126
   1065088,  -0.07408184,   0.05803621,  -1.11522126
   1065090,  -0.08005857,   0.06432056,  -1.10911202
   1065092,  -0.08603531,   0.06432056,  -1.11522126
   1065094,  -0.08603531,   0.05803621,  -1.11522126
   1065097,  -0.08603531,   0.06432056,  -1.12133062
   1065099,  -0.08603531,   0.07688928,  -1.12743986
   1065101,  -0.08005857,   0.08945799,  -1.13354921
   1065103,  -0.08005857,   0.08945799,  -1.13965845
   1065105,  -0.07408184,   0.09574234,  -1.15187705
   1065108,  -0.06212831,   0.10202670,  -1.16409564
   1065110,  -0.05017483,   0.10202670,  -1.17631423
