You entered a buffer length of 100
0.007776,-0.606026, Max:0.386075, Min:-0.989011
0.139881,-0.605844, Max:0.386075, Min:-0.989011
0.289999,-0.605482, Max:0.386075, Min:-0.989011
0.440118,-0.605058, Max:0.512175, Min:-0.989011
0.578227,-0.605054, Max:0.632270, Min:-0.989011
0.698322,-0.605594, Max:0.716336, Min:-0.989011
0.752365,-0.606981, Max:0.782388, Min:-0.989011
0.800402,-0.608736, Max:0.818417, Min:-0.989011
0.842436,-0.610555, Max:0.854445, Min:-0.989011
0.878464,-0.612495, Max:0.884469, Min:-0.989011
0.884469,-0.615156, Max:0.884469, Min:-0.989011
0.848440,-0.618665, Max:0.884469, Min:-0.989011
0.746360,-0.622844, Max:0.884469, Min:-0.989011
0.746360,-0.626068, Max:0.884469, Min:-0.989011
0.632270,-0.631445, Max:0.884469, Min:-0.989011
0.434113,-0.638584, Max:0.884469, Min:-0.989011
0.199928,-0.645501, Max:0.884469, Min:-0.989011
0.019786,-0.651455, Max:0.884469, Min:-0.989011
-0.094304,-0.655717, Max:0.884469, Min:-0.989011
-0.088300,-0.657802, Max:0.884469, Min:-0.989011
-0.010238,-0.658663, Max:0.884469, Min:-0.989011
0.097847,-0.659212, Max:0.884469, Min:-0.989011
0.163900,-0.660779, Max:0.884469, Min:-0.989011
0.175909,-0.663377, Max:0.884469, Min:-0.989011
0.139881,-0.666885, Max:0.884469, Min:-0.989011
0.085838,-0.670523, Max:0.884469, Min:-0.989011
0.037800,-0.673922, Max:0.884469, Min:-0.989011
0.025790,-0.676658, Max:0.884469, Min:-0.989011
0.067824,-0.677767, Max:0.884469, Min:-0.989011
0.253971,-0.675856, Max:0.884469, Min:-0.989011
0.578227,-0.671334, Max:0.884469, Min:-0.989011
1.046597,-0.663542, Max:1.352839, Min:-0.989011
1.569010,-0.657520, Max:1.683100, Min:-0.989011
1.743147,-0.657399, Max:1.773171, Min:-0.989011
1.791185,-0.659200, Max:1.803195, Min:-0.989011
1.803195,-0.661679, Max:1.803195, Min:-0.989011
1.809199,-0.665607, Max:1.809199, Min:-0.989011
1.358844,-0.678977, Max:1.809199, Min:-0.989011
0.806407,-0.691180, Max:1.809199, Min:-0.989011
0.536194,-0.698328, Max:1.809199, Min:-0.989011
0.404089,-0.703564, Max:1.809199, Min:-0.989011
0.229952,-0.710101, Max:1.809199, Min:-0.989011
0.025790,-0.716832, Max:1.809199, Min:-0.989011
-0.166361,-0.723144, Max:1.809199, Min:-0.989011
-0.310475,-0.728311, Max:1.809199, Min:-0.989011
-0.388537,-0.732206, Max:1.809199, Min:-0.989011
-0.418561,-0.735187, Max:1.809199, Min:-0.989011
-0.400546,-0.737319, Max:1.809199, Min:-0.989011
-0.340499,-0.738541, Max:1.809199, Min:-0.989011
-0.268442,-0.739694, Max:1.809199, Min:-0.989011
-0.178371,-0.740486, Max:1.809199, Min:-0.989011
-0.130333,-0.741995, Max:1.809199, Min:-0.989011
-0.058276,-0.743451, Max:1.809199, Min:-0.989011
-0.034257,-0.745628, Max:1.809199, Min:-0.989011
-0.004233,-0.747631, Max:1.809199, Min:-0.989011
0.037800,-0.749392, Max:1.809199, Min:-0.989011
0.061819,-0.751512, Max:1.809199, Min:-0.989011
0.085838,-0.753574, Max:1.809199, Min:-0.989011
0.109857,-0.755877, Max:1.809199, Min:-0.989011
0.121866,-0.758182, Max:1.809199, Min:-0.989011
0.127871,-0.760727, Max:1.809199, Min:-0.989011
0.127871,-0.763334, Max:1.809199, Min:-0.989011
0.139881,-0.765642, Max:1.809199, Min:-0.989011
0.151890,-0.768127, Max:1.809199, Min:-0.989011
0.133876,-0.771094, Max:1.809199, Min:-0.989011
0.121866,-0.773826, Max:1.809199, Min:-0.989011
0.127871,-0.776375, Max:1.809199, Min:-0.989011
0.127871,-0.779103, Max:1.809199, Min:-0.989011
0.097847,-0.782433, Max:1.809199, Min:-0.989011
0.049809,-0.786069, Max:1.809199, Min:-0.989011
-0.016243,-0.789949, Max:1.809199, Min:-0.989011
-0.052271,-0.793230, Max:1.809199, Min:-0.989011
-0.082295,-0.796325, Max:1.809199, Min:-0.989011
-0.076290,-0.798758, Max:1.809199, Min:-0.989011
-0.070286,-0.801244, Max:1.809199, Min:-0.989011
-0.064281,-0.803611, Max:1.809199, Min:-0.989011
-0.034257,-0.805616, Max:1.809199, Min:-0.989011
-0.022248,-0.808038, Max:1.809199, Min:-0.989011
-0.028252,-0.811005, Max:1.809199, Min:-0.989011
-0.070286,-0.814337, Max:1.809199, Min:-0.989011
-0.118323,-0.818033, Max:1.809199, Min:-0.989011
-0.160357,-0.821553, Max:1.809199, Min:-0.989011
-0.214399,-0.825191, Max:1.809199, Min:-0.989011
-0.262437,-0.828650, Max:1.809199, Min:-0.989011
-0.268442,-0.831147, Max:1.809199, Min:-0.989011
-0.214399,-0.832192, Max:1.809199, Min:-0.989011
-0.058276,-0.831542, Max:1.809199, Min:-0.989011
0.127871,-0.830095, Max:1.809199, Min:-0.989011
0.356051,-0.827918, Max:1.809199, Min:-0.989011
0.614255,-0.838585, Max:1.809199, Min:-0.989011
0.932507,-0.817735, Max:1.809199, Min:-0.989011
0.962530,-0.799212, Max:1.809199, Min:-0.989011
0.824421,-0.784856, Max:1.809199, Min:-0.989011
0.506170,-0.773603, Max:1.809199, Min:-0.989011
0.115862,-0.762682, Max:1.809199, Min:-0.989011
-0.166361,-0.749483, Max:1.809199, Min:-0.989011
-0.322485,-0.733919, Max:1.809199, Min:-0.989011
-0.394542,-0.717070, Max:1.809199, Min:-0.989011
-0.478608,-0.700629, Max:1.809199, Min:-0.989011
-0.562675,-0.683771, Max:1.809199, Min:-0.989011
-0.598703,-0.666249, Max:1.809199, Min:-0.989011
-0.622722,-0.648359, Max:1.809199, Min:-0.989011
-0.622722,-0.629986, Max:1.809199, Min:-0.989011
-0.592698,-0.610887, Max:1.809199, Min:-0.989011
-0.526646,-0.591181, Max:1.809199, Min:-0.989011
-0.448584,-0.571288, Max:1.809199, Min:-0.989011
-0.340499,-0.550854, Max:1.809199, Min:-0.989011
-0.250428,-0.530894, Max:1.809199, Min:-0.989011
-0.178371,-0.511058, Max:1.809199, Min:-0.989011
-0.088300,-0.490984, Max:1.809199, Min:-0.989011
-0.004233,-0.471088, Max:1.809199, Min:-0.989011
0.085838,-0.451073, Max:1.809199, Min:-0.989011
0.169904,-0.431118, Max:1.809199, Min:-0.989011
0.229952,-0.411643, Max:1.809199, Min:-0.989011
0.289999,-0.392233, Max:1.809199, Min:-0.989011
0.350047,-0.372944, Max:1.809199, Min:-0.989011
0.386075,-0.353776, Max:1.809199, Min:-0.989011
0.458132,-0.333889, Max:1.809199, Min:-0.989011
0.560213,-0.313334, Max:1.809199, Min:-0.989011
0.656289,-0.293493, Max:1.809199, Min:-0.989011
0.710331,-0.274379, Max:1.809199, Min:-0.989011
0.728346,-0.255874, Max:1.809199, Min:-0.989011
0.692317,-0.238395, Max:1.809199, Min:-0.989011
0.644279,-0.221527, Max:1.809199, Min:-0.989011
0.548203,-0.205206, Max:1.809199, Min:-0.989011
0.458132,-0.188890, Max:1.809199, Min:-0.989011
0.380070,-0.171913, Max:1.809199, Min:-0.989011
0.314018,-0.154930, Max:1.809199, Min:-0.989011
0.265980,-0.137707, Max:1.809199, Min:-0.989011
0.241961,-0.119160, Max:1.809199, Min:-0.989011
0.326028,-0.099339, Max:1.809199, Min:-0.989011
0.392080,-0.079806, Max:1.809199, Min:-0.989011
0.440118,-0.060755, Max:1.809199, Min:-0.989011
0.470141,-0.041950, Max:1.809199, Min:-0.989011
0.482151,-0.023568, Max:1.809199, Min:-0.989011
0.464137,-0.005850, Max:1.809199, Min:-0.989011
0.404089,0.011020, Max:1.809199, Min:-0.989011
0.314018,0.027342, Max:1.809199, Min:-0.989011
0.217942,0.043718, Max:1.809199, Min:-0.989011
0.121866,0.060154, Max:1.809199, Min:-0.989011
0.055814,0.077012, Max:1.809199, Min:-0.989011
-0.016243,0.093994, Max:1.809199, Min:-0.989011
-0.046267,0.111818, Max:1.809199, Min:-0.989011
-0.040262,0.130611, Max:1.809199, Min:-0.989011
0.061819,0.151395, Max:1.809199, Min:-0.989011
0.235956,0.173460, Max:1.809199, Min:-0.989011
0.488156,0.197099, Max:1.809199, Min:-0.989011
0.788393,0.221535, Max:1.809199, Min:-0.989011
1.064611,0.244537, Max:1.809199, Min:-0.989011
1.160687,0.263742, Max:1.809199, Min:-0.989011
1.046597,0.278225, Max:1.809199, Min:-0.989011
0.650284,0.287677, Max:1.809199, Min:-0.989011
0.163900,0.296959, Max:1.809199, Min:-0.989011
-0.202390,0.308461, Max:1.809199, Min:-0.989011
-0.304471,0.326170, Max:1.809199, Min:-0.989011
-0.208395,0.346163, Max:1.809199, Min:-0.989011
-0.190380,0.364197, Max:1.809199, Min:-0.989011
-0.268442,0.380890, Max:1.809199, Min:-0.989011
-0.346504,0.397690, Max:1.809199, Min:-0.989011
-0.376527,0.415572, Max:1.809199, Min:-0.989011
-0.358513,0.434306, Max:1.809199, Min:-0.989011
-0.334494,0.453408, Max:1.809199, Min:-0.989011
-0.262437,0.472814, Max:1.809199, Min:-0.989011
-0.214399,0.492103, Max:1.809199, Min:-0.989011
-0.172366,0.510971, Max:1.809199, Min:-0.989011
-0.124328,0.530495, Max:1.809199, Min:-0.989011
-0.058276,0.550145, Max:1.809199, Min:-0.989011
0.013781,0.569977, Max:1.809199, Min:-0.989011
0.085838,0.589631, Max:1.809199, Min:-0.989011
0.157895,0.609163, Max:1.809199, Min:-0.989011
0.211937,0.628393, Max:1.809199, Min:-0.989011
0.247966,0.647621, Max:1.809199, Min:-0.989011
0.314018,0.667088, Max:1.809199, Min:-0.989011
0.380070,0.686798, Max:1.809199, Min:-0.989011
0.440118,0.706211, Max:1.809199, Min:-0.989011
0.500165,0.725680, Max:1.809199, Min:-0.989011
0.572222,0.745390, Max:1.809199, Min:-0.989011
0.626265,0.764622, Max:1.809199, Min:-0.989011
0.644279,0.783129, Max:1.809199, Min:-0.989011
0.650284,0.801268, Max:1.809199, Min:-0.989011
0.608251,0.818443, Max:1.809199, Min:-0.989011
0.524184,0.834948, Max:1.809199, Min:-0.989011
0.422104,0.851145, Max:1.809199, Min:-0.989011
0.326028,0.867460, Max:1.809199, Min:-0.989011
0.241961,0.884196, Max:1.809199, Min:-0.989011
0.187918,0.901477, Max:1.809199, Min:-0.989011
0.163900,0.919424, Max:1.809199, Min:-0.989011
0.163900,0.937678, Max:1.809199, Min:-0.989011
0.175909,0.956295, Max:1.809199, Min:-0.989011
0.205933,0.964527, Max:1.809199, Min:-0.989011
0.283994,0.958605, Max:1.809199, Min:-0.989011
0.314018,0.952961, Max:1.809199, Min:-0.989011
0.368061,0.947441, Max:1.809199, Min:-0.989011
0.416099,0.941261, Max:1.809199, Min:-0.989011
0.362056,0.933573, Max:1.809199, Min:-0.989011
0.277990,0.925389, Max:1.809199, Min:-0.989011
0.217942,0.917562, Max:1.809199, Min:-0.989011
0.139881,0.909497, Max:1.809199, Min:-0.989011
0.073828,0.901790, Max:1.809199, Min:-0.989011
0.061819,0.895348, Max:1.809199, Min:-0.989011
0.103852,0.890180, Max:1.809199, Min:-0.989011
0.247966,0.886705, Max:1.809199, Min:-0.989011
0.476146,0.885650, Max:1.809199, Min:-0.989011
0.854445,0.886720, Max:1.809199, Min:-0.989011
1.238749,0.887331, Max:1.809199, Min:-0.989011
1.418891,0.883374, Max:1.809199, Min:-0.989011
1.406882,0.875589, Max:1.809199, Min:-0.989011
1.148678,0.862961, Max:1.809199, Min:-0.989011
