You entered a buffer length of 20
-0.925875,1.859320, Max:2.219194, Min:-1.760158
-1.219975,1.960441, Max:2.219194, Min:-1.760158
-1.508073,2.130853, Max:2.219194, Min:-1.760158
-1.718144,1.932003, Max:2.219194, Min:-1.760158
-1.742152,1.720992, Max:2.219194, Min:-1.760158
-1.760158,1.511174, Max:2.219194, Min:-1.760158
-1.760158,1.302616, Max:2.219194, Min:-1.760158
-1.760158,1.094121, Max:2.219194, Min:-1.760158
-1.760158,0.885629, Max:2.219194, Min:-1.760158
-1.760158,0.677137, Max:2.219194, Min:-1.760158
-1.760158,0.468645, Max:2.219194, Min:-1.760158
-1.760158,0.260153, Max:2.219194, Min:-1.760158
-1.760158,0.051661, Max:2.219194, Min:-1.760158
-1.760158,-0.156831, Max:2.219194, Min:-1.760158
-1.760158,-0.365323, Max:2.219194, Min:-1.760158
-1.760158,-0.573815, Max:2.219194, Min:-1.760158
-1.760158,-0.782307, Max:2.219194, Min:-1.760158
-1.760158,-0.990799, Max:2.219194, Min:-1.760158
-1.760158,-1.199291, Max:2.219194, Min:-1.760158
-1.760158,-1.405682, Max:2.219194, Min:-1.760158
-1.652122,-1.599964, Max:2.219194, Min:-1.760158
-1.400036,-1.779536, Max:2.219194, Min:-1.760158
-1.021907,-1.795117, Max:2.219194, Min:-1.760158
0.148491,-1.642844, Max:2.219194, Min:-1.760158
0.724686,-1.421557, Max:2.219194, Min:-1.760158
1.787048,-1.203123, Max:2.219194, Min:-1.760158
2.099154,-1.045151, Max:2.219194, Min:-1.760158
2.183182,-0.907908, Max:2.219194, Min:-1.760158
2.201188,-0.776204, Max:2.219194, Min:-1.760158
2.207190,-0.645676, Max:2.219194, Min:-1.760158
2.207190,-0.515808, Max:2.219194, Min:-1.760158
2.219194,-0.385373, Max:2.219194, Min:-1.760158
2.213192,-0.255809, Max:2.219194, Min:-1.760158
2.213192,-0.125389, Max:2.225196, Min:-1.760158
2.213192,0.003874, Max:2.225196, Min:-1.760158
2.219194,0.133979, Max:2.225196, Min:-1.760158
2.213192,0.263526, Max:2.225196, Min:-1.760158
2.243202,0.394846, Max:2.243202, Min:-1.760158
2.153172,0.507648, Max:2.243202, Min:-1.760158
1.745033,0.593716, Max:2.243202, Min:-1.760158
1.300882,0.678446, Max:2.243202, Min:-1.760158
0.928756,0.771513, Max:2.243202, Min:-1.760158
0.634656,0.758761, Max:2.243202, Min:-1.760158
0.280535,0.718209, Max:2.243202, Min:-1.760158
0.160495,0.672667, Max:2.243202, Min:-1.760158
0.016446,0.627475, Max:2.243202, Min:-1.760158
