You entered a buffer length of 20
0.868735,0.997468, Max:1.799052, Min:-0.989011
0.319646,-0.596222, Max:1.799052, Min:-0.989011
-0.442580,-0.630015, Max:1.799052, Min:-0.989011
0.766701,1.002291, Max:1.799052, Min:-0.989011
0.247396,-0.651975, Max:1.799052, Min:-0.989011
-0.460594,-0.641510, Max:1.799052, Min:-0.989011
0.676670,1.015221, Max:1.799052, Min:-0.989011
0.133000,-0.612795, Max:1.799052, Min:-0.989011
-0.496622,-0.635347, Max:1.799052, Min:-0.989011
0.574635,0.985819, Max:1.799052, Min:-0.989011
0.108917,-0.575431, Max:1.799052, Min:-0.989011
-0.508632,-0.628976, Max:1.799052, Min:-0.989011
0.508613,0.950125, Max:1.799052, Min:-0.989011
0.042688,-0.541090, Max:1.799052, Min:-0.989011
-0.478608,-0.618852, Max:1.799052, Min:-0.989011
0.442590,0.915519, Max:1.799052, Min:-0.989011
-0.029562,-0.505491, Max:1.799052, Min:-0.989011
-0.454589,-0.608365, Max:1.799052, Min:-0.989011
0.376568,0.882432, Max:1.799052, Min:-0.989011
-0.053646,-0.464699, Max:1.799052, Min:-0.989011
-0.412556,-0.596118, Max:1.799052, Min:-0.989011
0.310546,0.848533, Max:1.799052, Min:-0.989011
-0.017521,-0.421238, Max:1.799052, Min:-0.989011
-0.358513,-0.584037, Max:1.799052, Min:-0.989011
0.256527,0.815826, Max:1.799052, Min:-0.989011
-0.035583,-0.382232, Max:1.799052, Min:-0.989011
-0.352508,-0.579384, Max:1.799052, Min:-0.989011
0.202509,0.783047, Max:1.799052, Min:-0.989011
-0.107833,-0.350757, Max:1.799052, Min:-0.989011
-0.388537,-0.573607, Max:1.799052, Min:-0.989011
0.208511,0.756026, Max:1.799052, Min:-0.989011
-0.216208,-0.318391, Max:1.799052, Min:-0.989011
-0.376527,-0.565684, Max:1.799052, Min:-0.989011
0.208511,0.731214, Max:1.799052, Min:-0.989011
-0.288458,-0.281700, Max:1.799052, Min:-0.989011
-0.400546,-0.560847, Max:1.799052, Min:-0.989011
0.274533,0.709849, Max:1.799052, Min:-0.989011
-0.264375,-0.235806, Max:1.799052, Min:-0.989011
-0.400546,-0.552548, Max:1.799052, Min:-0.989011
0.328552,0.686856, Max:1.799052, Min:-0.989011
-0.216208,-0.196014, Max:1.799052, Min:-0.989011
-0.400546,-0.546355, Max:1.799052, Min:-0.989011
0.316548,0.656255, Max:1.799052, Min:-0.989011
-0.529291,-0.188212, Max:1.799052, Min:-0.989011
-0.454589,-0.545364, Max:1.799052, Min:-0.989011
0.232519,0.617291, Max:1.799052, Min:-0.989011
-0.709916,-0.154938, Max:1.799052, Min:-0.989011
-0.454589,-0.537696, Max:1.799052, Min:-0.989011
0.094472,0.578061, Max:1.799052, Min:-0.989011
-0.565416,-0.096390, Max:1.799052, Min:-0.989011
-0.460594,-0.531165, Max:1.799052, Min:-0.989011
0.022448,0.543876, Max:1.799052, Min:-0.989011
-0.330604,-0.031570, Max:1.799052, Min:-0.989011
-0.520641,-0.529726, Max:1.799052, Min:-0.989011
-0.031571,0.510636, Max:1.799052, Min:-0.989011
-0.131916,0.027579, Max:1.799052, Min:-0.989011
-0.604708,-0.529771, Max:1.799052, Min:-0.989011
-0.091591,0.476423, Max:1.799052, Min:-0.989011
-0.023541,0.078249, Max:1.799052, Min:-0.989011
-0.682769,-0.529339, Max:1.799052, Min:-0.989011
-0.157614,0.442232, Max:1.799052, Min:-0.989011
0.030646,0.124105, Max:1.799052, Min:-0.989011
-0.754826,-0.528247, Max:1.799052, Min:-0.989011
-0.211632,0.408976, Max:1.799052, Min:-0.989011
0.066771,0.127258, Max:1.799052, Min:-0.989011
-0.802864,-0.516981, Max:1.799052, Min:-0.989011
-0.259648,0.444351, Max:1.799052, Min:-0.989011
0.151063,0.135349, Max:1.799052, Min:-0.989011
-0.844897,-0.535491, Max:1.799052, Min:-0.989011
-0.355681,0.395409, Max:1.799052, Min:-0.989011
0.193208,0.144944, Max:1.799052, Min:-0.989011
-0.844897,-0.551524, Max:1.799052, Min:-0.989011
-0.397695,0.342090, Max:1.799052, Min:-0.989011
0.379854,0.165759, Max:1.799052, Min:-0.989011
-0.868916,-0.573001, Max:1.799052, Min:-0.989011
-0.823840,0.235080, Max:1.799052, Min:-1.243983
0.518333,0.173654, Max:1.799052, Min:-1.243983
-0.910950,-0.584616, Max:1.799052, Min:-1.243983
-1.466058,0.141767, Max:1.799052, Min:-1.550087
0.464146,0.168085, Max:1.799052, Min:-1.550087
-0.646741,-0.575587, Max:1.799052, Min:-1.550087
-1.556089,0.089401, Max:1.799052, Min:-1.610107
0.488229,0.174197, Max:1.799052, Min:-1.610107
-0.436575,-0.571979, Max:1.799052, Min:-1.610107
-1.676130,0.033162, Max:1.799052, Min:-1.712142
0.548438,0.179815, Max:1.799052, Min:-1.712142
-0.232414,-0.566894, Max:1.799052, Min:-1.712142
-1.736150,-0.016701, Max:1.799052, Min:-1.748154
0.512313,0.175515, Max:1.799052, Min:-1.748154
0.013781,-0.559003, Max:1.799052, Min:-1.748154
-1.760158,-0.063422, Max:1.799052, Min:-1.760158
0.403938,0.165954, Max:1.799052, Min:-1.760158
0.265980,-0.552575, Max:1.799052, Min:-1.760158
-1.760158,-0.106315, Max:1.799052, Min:-1.760158
0.265458,0.154477, Max:1.799052, Min:-1.760158
0.386075,-0.564858, Max:1.799052, Min:-1.760158
-1.640118,-0.136640, Max:1.799052, Min:-1.760158
0.151063,0.146338, Max:1.799052, Min:-1.760158
0.265980,-0.596790, Max:1.799052, Min:-1.760158
-1.412040,-0.160144, Max:1.799052, Min:-1.760158
0.060750,0.140346, Max:1.799052, Min:-1.760158
0.091843,-0.629215, Max:1.799052, Min:-1.760158
-1.153952,-0.180371, Max:1.799052, Min:-1.760158
-0.017521,0.136324, Max:1.799052, Min:-1.760158
-0.004233,-0.653736, Max:1.799052, Min:-1.760158
-0.877858,-0.200804, Max:1.799052, Min:-1.760158
-0.113854,0.128680, Max:1.799052, Min:-1.760158
-0.016243,-0.671532, Max:1.799052, Min:-1.760158
-0.667787,-0.229903, Max:1.799052, Min:-1.760158
-0.216208,0.122408, Max:1.799052, Min:-1.760158
-0.004233,-0.685956, Max:1.799052, Min:-1.760158
-0.577756,-0.266637, Max:1.799052, Min:-1.760158
-0.240291,0.124485, Max:1.799052, Min:-1.760158
0.073828,-0.694559, Max:1.799052, Min:-1.760158
-0.505732,-0.306080, Max:1.799052, Min:-1.760158
-0.210187,0.128233, Max:1.799052, Min:-1.760158
0.133876,-0.708783, Max:1.799052, Min:-1.760158
-0.433707,-0.346705, Max:1.799052, Min:-1.760158
