You entered a buffer length of 100
0.772703,0.015454, Max:0.772703, Min:0.000000
0.748695,0.022615, Max:0.772703, Min:0.000000
0.712682,0.029334, Max:0.772703, Min:0.000000
0.682672,0.036288, Max:0.772703, Min:0.000000
0.658664,0.043364, Max:0.772703, Min:0.000000
0.646660,0.050862, Max:0.772703, Min:0.000000
0.652662,0.058604, Max:0.772703, Min:0.000000
0.670668,0.066588, Max:0.772703, Min:0.000000
0.706680,0.074755, Max:0.772703, Min:0.000000
0.772703,0.083884, Max:0.802713, Min:0.000000
0.838725,0.092903, Max:0.880739, Min:0.000000
0.934758,0.107923, Max:1.528960, Min:0.000000
1.204850,0.117180, Max:1.528960, Min:0.000000
1.384911,0.127461, Max:1.528960, Min:0.000000
1.799052,0.140752, Max:1.799052, Min:0.000000
1.697017,0.146512, Max:1.799052, Min:0.000000
1.498950,0.151655, Max:1.799052, Min:0.000000
1.342896,0.154692, Max:1.799052, Min:0.000000
1.132825,0.158308, Max:1.799052, Min:0.000000
1.018786,0.164091, Max:1.799052, Min:0.000000
1.030791,0.172176, Max:1.799052, Min:0.000000
1.066803,0.180104, Max:1.799052, Min:0.000000
1.000780,0.185989, Max:1.799052, Min:0.000000
0.934758,0.192395, Max:1.799052, Min:0.000000
0.880739,0.198985, Max:1.799052, Min:0.000000
0.844727,0.206238, Max:1.799052, Min:0.000000
0.796711,0.207615, Max:1.799052, Min:0.000000
0.064462,0.207193, Max:1.799052, Min:0.000000
0.646660,0.227641, Max:1.799052, Min:0.000000
0.946762,0.239353, Max:1.799052, Min:0.000000
1.012784,0.247318, Max:1.799052, Min:0.000000
1.000780,0.254344, Max:1.799052, Min:0.000000
0.994778,0.261781, Max:1.799052, Min:0.000000
1.030791,0.270363, Max:1.799052, Min:0.000000
1.054799,0.278416, Max:1.799052, Min:0.000000
1.030791,0.285143, Max:1.799052, Min:0.000000
0.946762,0.291077, Max:1.799052, Min:0.000000
0.868735,0.296822, Max:1.799052, Min:0.000000
0.766701,0.302206, Max:1.799052, Min:0.000000
0.676670,0.307946, Max:1.799052, Min:0.000000
0.580637,0.314110, Max:1.799052, Min:0.000000
0.508613,0.319978, Max:1.799052, Min:0.000000
0.442590,0.326083, Max:1.799052, Min:0.000000
0.376568,0.332491, Max:1.799052, Min:0.000000
0.310546,0.338721, Max:1.799052, Min:0.000000
0.256527,0.345190, Max:1.799052, Min:0.000000
0.202509,0.351722, Max:1.799052, Min:0.000000
0.208511,0.359394, Max:1.799052, Min:0.000000
0.208511,0.367498, Max:1.799052, Min:0.000000
0.274533,0.376326, Max:1.799052, Min:0.000000
0.328552,0.384802, Max:1.799052, Min:0.000000
0.316548,0.391773, Max:1.799052, Min:0.000000
0.232519,0.397109, Max:1.799052, Min:0.000000
0.094472,0.402309, Max:1.799052, Min:0.000000
0.022448,0.408527, Max:1.799052, Min:-0.001561
-0.031571,0.414996, Max:1.799052, Min:-0.055579
-0.091591,0.421287, Max:1.799052, Min:-0.121601
-0.157614,0.427576, Max:1.799052, Min:-0.181622
-0.211632,0.434046, Max:1.799052, Min:-0.235640
-0.259648,0.440637, Max:1.799052, Min:-0.283656
-0.319669,0.446870, Max:1.799052, Min:-0.355681
-0.397695,0.452618, Max:1.799052, Min:-0.457716
-0.823840,0.448039, Max:1.799052, Min:-1.243983
-1.466058,0.445996, Max:1.799052, Min:-1.550087
-1.556089,0.451963, Max:1.799052, Min:-1.610107
-1.676130,0.457288, Max:1.799052, Min:-1.712142
-1.736150,0.463868, Max:1.799052, Min:-1.748154
-1.760158,0.471061, Max:1.799052, Min:-1.760158
-1.760158,0.479040, Max:1.799052, Min:-1.760158
-1.640118,0.489728, Max:1.799052, Min:-1.760158
-1.412040,0.502003, Max:1.799052, Min:-1.760158
-1.153952,0.514955, Max:1.799052, Min:-1.760158
-0.877858,0.527793, Max:1.799052, Min:-1.760158
-0.667787,0.538829, Max:1.799052, Min:-1.760158
-0.577756,0.548287, Max:1.799052, Min:-1.760158
-0.505732,0.557129, Max:1.799052, Min:-1.760158
-0.433707,0.565785, Max:1.799052, Min:-1.760158
-0.445711,0.573238, Max:1.799052, Min:-1.760158
-0.439709,0.581100, Max:1.799052, Min:-1.760158
-0.409699,0.589326, Max:1.799052, Min:-1.760158
-0.361683,0.597915, Max:1.799052, Min:-1.760158
-0.301663,0.606749, Max:1.799052, Min:-1.760158
-0.235640,0.615584, Max:1.799052, Min:-1.760158
-0.199628,0.626101, Max:1.799052, Min:-1.760158
0.820719,0.656981, Max:1.799052, Min:-1.760158
0.802713,0.656674, Max:1.799052, Min:-1.760158
0.706680,0.665478, Max:1.799052, Min:-1.760158
0.898746,0.676354, Max:1.799052, Min:-1.760158
1.042794,0.687371, Max:1.799052, Min:-1.760158
1.276874,0.700850, Max:1.799052, Min:-1.760158
1.745033,0.718195, Max:1.991117, Min:-1.760158
2.099154,0.731017, Max:2.153172, Min:-1.760158
2.177180,0.739833, Max:2.195186, Min:-1.760158
2.201188,0.747708, Max:2.201188, Min:-1.760158
2.213192,0.755514, Max:2.213192, Min:-1.760158
2.213192,0.763079, Max:2.213192, Min:-1.760158
2.213192,0.770641, Max:2.213192, Min:-1.760158
2.213192,0.778204, Max:2.213192, Min:-1.760158
2.213192,0.785767, Max:2.213192, Min:-1.760158
2.213192,0.771197, Max:2.213192, Min:-1.760158
2.213192,0.785696, Max:2.213192, Min:-1.760158
2.219194,0.800606, Max:2.219194, Min:-1.760158
2.213192,0.815341, Max:2.219194, Min:-1.760158
2.213192,0.830253, Max:2.219194, Min:-1.760158
2.219194,0.845227, Max:2.219194, Min:-1.760158
2.213192,0.859962, Max:2.219194, Min:-1.760158
2.195186,0.873494, Max:2.219194, Min:-1.760158
1.961107,0.883112, Max:2.219194, Min:-1.760158
1.655003,0.891791, Max:2.219194, Min:-1.760158
1.360903,0.900761, Max:2.219194, Min:-1.760158
1.066803,0.909674, Max:2.219194, Min:-1.760158
0.790709,0.918946, Max:2.219194, Min:-1.760158
0.496609,0.927862, Max:2.219194, Min:-1.760158
0.202509,0.936834, Max:2.219194, Min:-1.760158
-0.073585,0.946047, Max:2.219194, Min:-1.760158
-0.343677,0.955442, Max:2.219194, Min:-1.760158
-0.631775,0.964479, Max:2.219194, Min:-1.760158
-0.925875,0.973392, Max:2.219194, Min:-1.760158
-1.219975,0.982185, Max:2.219194, Min:-1.760158
-1.508073,0.991696, Max:2.219194, Min:-1.760158
-1.682132,1.003735, Max:2.219194, Min:-1.760158
-1.742152,1.017600, Max:2.219194, Min:-1.760158
-1.760158,1.032203, Max:2.219194, Min:-1.760158
-1.760158,1.047054, Max:2.219194, Min:-1.760158
-1.760158,1.061908, Max:2.219194, Min:-1.760158
-1.760158,1.076762, Max:2.219194, Min:-1.760158
-1.760158,1.091615, Max:2.219194, Min:-1.760158
-1.760158,1.106469, Max:2.219194, Min:-1.760158
-1.760158,1.121322, Max:2.219194, Min:-1.760158
-1.760158,1.136176, Max:2.219194, Min:-1.760158
-1.760158,1.151029, Max:2.219194, Min:-1.760158
-1.760158,1.165883, Max:2.219194, Min:-1.760158
-1.760158,1.180736, Max:2.219194, Min:-1.760158
-1.760158,1.195590, Max:2.219194, Min:-1.760158
-1.760158,1.210443, Max:2.219194, Min:-1.760158
-1.760158,1.225297, Max:2.219194, Min:-1.760158
-1.760158,1.240571, Max:2.219194, Min:-1.760158
-1.652122,1.258249, Max:2.219194, Min:-1.760158
-1.400036,1.278773, Max:2.219194, Min:-1.760158
-1.021907,1.302686, Max:2.219194, Min:-1.760158
-0.307665,1.333356, Max:2.219194, Min:-1.760158
0.724686,1.370995, Max:2.219194, Min:-1.760158
1.787048,1.402882, Max:2.219194, Min:-1.760158
2.099154,1.422648, Max:2.219194, Min:-1.760158
2.183182,1.438751, Max:2.219194, Min:-1.760158
2.201188,1.453917, Max:2.219194, Min:-1.760158
2.207190,1.468894, Max:2.219194, Min:-1.760158
2.207190,1.483748, Max:2.219194, Min:-1.760158
2.219194,1.498722, Max:2.219194, Min:-1.760158
