20Fast ,100Fast,turtle100,turtle
0.054729,0.054729,-0.053646,-0.053646
0.151063,0.151063,-0.08375,-0.08375
0.120959,0.120959,-0.119875,-0.119875
0.102896,0.102896,-0.131916,-0.131916
0.163104,0.163104,-0.119875,-0.119875
0.199229,0.199229,-0.089771,-0.089771
0.126979,0.126979,-0.053646,-0.053646
0.042688,0.042688,-0.023541,-0.023541
-0.029562,-0.029562,0.000542,0.000542
-0.053646,-0.053646,0.006563,0.006563
-0.053646,-0.053646,-0.023541,-0.023541
-0.107833,-0.107833,-0.035583,-0.035583
-0.125896,-0.125896,-0.029562,-0.029562
-0.156,-0.156,-0.035583,-0.035583
-0.180083,-0.180083,-0.059666,-0.059666
-0.222229,-0.222229,-0.101812,-0.101812
-0.240291,-0.240291,-0.168041,-0.168041
-0.246312,-0.246312,-0.234271,-0.234271
-0.258354,-0.258354,-0.276416,-0.276416
-0.258354,-0.258354,-0.312541,-0.312541
-0.258354,-0.258354,-0.342646,-0.342646
-0.252333,-0.252333,-0.354687,-0.354687
-0.252333,-0.252333,-0.354687,-0.354687
-0.240291,-0.240291,-0.384791,-0.384791
-0.216208,-0.216208,-0.420916,-0.420916
-0.204166,-0.204166,-0.432958,-0.432958
-0.174062,-0.174062,-0.432958,-0.432958
-0.143958,-0.143958,-0.432958,-0.432958
-0.125896,-0.125896,-0.451021,-0.451021
-0.125896,-0.125896,-0.481125,-0.481125
-0.107833,-0.107833,-0.499187,-0.499187
-0.071708,-0.071708,-0.529291,-0.529291
0.036667,0.006563,-0.553375,-0.565416
0.072792,0.072792,-0.577458,-0.577458
0.126979,0.126979,-0.607562,-0.607562
0.163104,0.163104,-0.619604,-0.619604
0.199229,0.199229,-0.643687,-0.643687
0.223313,0.223313,-0.649708,-0.649708
0.241375,0.241375,-0.655729,-0.655729
0.229334,0.229334,-0.66175,-0.66175
0.217292,0.217292,-0.679812,-0.679812
0.193208,0.193208,-0.685833,-0.685833
0.169125,0.169125,-0.655729,-0.655729
0.139021,0.139021,-0.637666,-0.637666
0.096875,0.096875,-0.625625,-0.625625
0.042688,0.042688,-0.607562,-0.607562
0.06075,0.06075,-0.601541,-0.601541
0.133,0.133,-0.595521,-0.595521
0.253417,0.253417,-0.571437,-0.571437
0.391896,0.391896,-0.553375,-0.553375
0.488229,0.488229,-0.529291,-0.529291
0.488229,0.488229,-0.523271,-0.523271
0.313625,0.313625,-0.553375,-0.553375
0.20525,0.20525,-0.565416,-0.565416
-0.053646,-0.053646,-0.565416,-0.565416
-0.288458,-0.288458,-0.583479,-0.583479
-0.511229,-0.511229,-0.577458,-0.577458
-0.595521,-0.595521,-0.577458,-0.577458
-0.601541,-0.601541,-0.5895,-0.5895
-0.505208,-0.505208,-0.583479,-0.583479
-0.354687,-0.354687,-0.601541,-0.601541
-0.210187,-0.210187,-0.613583,-0.613583
-0.131916,-0.131916,-0.583479,-0.583479
-0.125896,-0.125896,-0.583479,-0.583479
-0.174062,-0.174062,-0.601541,-0.601541
-0.192125,-0.192125,-0.601541,-0.601541
-0.156,-0.156,-0.577458,-0.577458
-0.095791,-0.095791,-0.553375,-0.553375
-0.035583,-0.035583,-0.535312,-0.535312
0.018604,0.018604,-0.51725,-0.51725
0.042688,0.042688,-0.511229,-0.511229
0.018604,0.018604,-0.511229,-0.511229
-0.0115,-0.005479,-0.523271,-0.523271
-0.029562,-0.029562,-0.529291,-0.529291
-0.077729,-0.077729,-0.547354,-0.547354
-0.149979,-0.149979,-0.571437,-0.571437
-0.198146,-0.198146,-0.5895,-0.5895
-0.22825,-0.22825,-0.607562,-0.607562
-0.264375,-0.264375,-0.619604,-0.619604
-0.288458,-0.288458,-0.631646,-0.631646
-0.306521,-0.306521,-0.637666,-0.637666
-0.324583,-0.324583,-0.643687,-0.643687
-0.336625,-0.336625,-0.66175,-0.66175
-0.324583,-0.324583,-0.679812,-0.679812
-0.324583,-0.324583,-0.703896,-0.703896
-0.294479,-0.294479,-0.746041,-0.746041
-0.276416,-0.276416,-0.782166,-0.782166
-0.234271,-0.234271,-0.818291,-0.818291
-0.174062,-0.174062,-0.8785,-0.8785
-0.119875,-0.119875,-0.95075,-0.95075
-0.071708,-0.071708,-1.004937,-1.004937
-0.041604,-0.041604,-1.035041,-1.035041
0.036667,0.018604,-1.059125,-1.065145
0.06075,0.06075,-1.065145,-1.065145
0.102896,0.102896,-1.077187,-1.077187
0.139021,0.139021,-1.077187,-1.077187
0.145042,0.145042,-1.077187,-1.077187
0.133,0.133,-1.053104,-1.053104
0.133,0.133,-1.041062,-1.041062
0.145042,0.145042,-1.047083,-1.047083
0.169125,0.169125,-1.071166,-1.071166
0.229334,0.229334,-1.071166,-1.071166
0.289542,0.289542,-1.065145,-1.065145
0.313625,0.313625,-1.053104,-1.053104
0.301584,0.301584,-1.041062,-1.041062
0.241375,0.241375,-1.02902,-1.02902
0.151063,0.151063,-1.010958,-1.010958
0.036667,0.036667,-0.986875,-0.986875
-0.143958,-0.143958,-0.962791,-0.962791
-0.438979,-0.438979,-0.938708,-0.938708
-0.842375,-0.842375,-0.920645,-0.920645
-1.179541,-1.179541,-0.902583,-0.902583
-1.372208,-1.330062,-0.872479,-0.860437
-1.396291,-1.396291,-0.848395,-0.848395
-1.269854,-1.269854,-0.818291,-0.818291
-1.257812,-1.257812,-0.80625,-0.80625
-1.185562,-1.185562,-0.788187,-0.788187
-1.107291,-1.107291,-0.782166,-0.782166
-0.944729,-0.944729,-0.776146,-0.776146
-0.770125,-0.770125,-0.770125,-0.770125
-0.643687,-0.643687,-0.764104,-0.764104
-0.571437,-0.571437,-0.752062,-0.752062
-0.553375,-0.553375,-0.752062,-0.752062
-0.553375,-0.553375,-0.752062,-0.752062
-0.493166,-0.493166,-0.758083,-0.758083
-0.420916,-0.420916,-0.758083,-0.758083
-0.312541,-0.312541,-0.770125,-0.770125
-0.216208,-0.216208,-0.776146,-0.776146
-0.156,-0.156,-0.782166,-0.782166
-0.107833,-0.107833,-0.782166,-0.782166
-0.071708,-0.071708,-0.764104,-0.764104
-0.059666,-0.059666,-0.746041,-0.746041
-0.035583,-0.041604,-0.740021,-0.721958
-0.029562,-0.029562,-0.715937,-0.715937
-0.023541,-0.023541,-0.697875,-0.697875
-0.0115,-0.0115,-0.679812,-0.679812
-0.041604,-0.041604,-0.66175,-0.66175
-0.08375,-0.08375,-0.655729,-0.655729
-0.113854,-0.113854,-0.643687,-0.643687
-0.137937,-0.137937,-0.643687,-0.643687
-0.180083,-0.180083,-0.631646,-0.631646
-0.210187,-0.210187,-0.637666,-0.637666
-0.216208,-0.216208,-0.637666,-0.637666
-0.210187,-0.210187,-0.649708,-0.649708
-0.240291,-0.240291,-0.649708,-0.649708
-0.234271,-0.234271,-0.643687,-0.643687
-0.216208,-0.216208,-0.637666,-0.637666
-0.22825,-0.22825,-0.625625,-0.625625
-0.246312,-0.246312,-0.571437,-0.571437
-0.246312,-0.246312,-0.553375,-0.553375
-0.240291,-0.240291,-0.547354,-0.547354
-0.22825,-0.22825,-0.541333,-0.541333
-0.192125,-0.192125,-0.535312,-0.535312
-0.186104,-0.186104,-0.529291,-0.529291
-0.174062,-0.174062,-0.523271,-0.523271
-0.162021,-0.162021,-0.523271,-0.523271
-0.180083,-0.180083,-0.511229,-0.511229
-0.174062,-0.174062,-0.511229,-0.511229
-0.168041,-0.168041,-0.505208,-0.505208
-0.162021,-0.162021,-0.51725,-0.51725
-0.137937,-0.137937,-0.51725,-0.51725
-0.077729,-0.077729,-0.529291,-0.529291
-0.005479,-0.005479,-0.493166,-0.493166
0.133,0.133,-0.487146,-0.487146
0.247396,0.247396,-0.463062,-0.463062
0.385875,0.385875,-0.438979,-0.438979
0.542417,0.542417,-0.396833,-0.396833
0.626708,0.626708,-0.366729,-0.366729
0.560479,0.560479,-0.336625,-0.336625
0.452104,0.452104,-0.336625,-0.336625
0.385875,0.385875,-0.348666,-0.348666
0.307604,0.307604,-0.366729,-0.366729
0.235354,0.259438,-0.360708,-0.37275
0.20525,0.20525,-0.384791,-0.384791
0.163104,0.163104,-0.408875,-0.408875
0.114938,0.114938,-0.445,-0.445
0.06075,0.06075,-0.481125,-0.481125
-0.023541,-0.023541,-0.529291,-0.529291
-0.119875,-0.119875,-0.577458,-0.577458
-0.198146,-0.198146,-0.607562,-0.607562
-0.222229,-0.222229,-0.619604,-0.619604
-0.204166,-0.204166,-0.607562,-0.607562
-0.174062,-0.174062,-0.565416,-0.565416
-0.149979,-0.149979,-0.493166,-0.493166
-0.131916,-0.131916,-0.414896,-0.414896
-0.113854,-0.113854,-0.348666,-0.348666
-0.113854,-0.113854,-0.282437,-0.282437
-0.131916,-0.131916,-0.22825,-0.22825
-0.168041,-0.168041,-0.198146,-0.198146
-0.216208,-0.216208,-0.192125,-0.192125
-0.258354,-0.258354,-0.210187,-0.210187
-0.276416,-0.276416,-0.234271,-0.234271
-0.306521,-0.294479,-0.252333,-0.252333
-0.318562,-0.318562,-0.258354,-0.258354
-0.324583,-0.324583,-0.264375,-0.264375
-0.324583,-0.324583,-0.270396,-0.270396
-0.324583,-0.324583,-0.282437,-0.282437
-0.312541,-0.312541,-0.258354,-0.258354
-0.3005,-0.3005,-0.234271,-0.234271
-0.294479,-0.294479,-0.204166,-0.204166
-0.288458,-0.288458,-0.168041,-0.168041
-0.294479,-0.294479,-0.119875,-0.119875
-0.294479,-0.294479,-0.071708,-0.071708
-0.318562,-0.318562,-0.005479,-0.005479
-0.324583,-0.324583,0.012583,0.012583
-0.360708,-0.360708,0.042688,0.042688
-0.438979,-0.438979,0.048709,0.048709
-0.445,-0.445,0.042688,0.042688
-0.408875,-0.408875,0.024625,0.024625
-0.360708,-0.360708,0.000542,0.000542
-0.3005,-0.3005,-0.041604,-0.041604
-0.22825,-0.22825,-0.053646,-0.053646
-0.162021,-0.174062,-0.08375,-0.089771
-0.156,-0.156,-0.107833,-0.107833
-0.174062,-0.174062,-0.125896,-0.125896
-0.180083,-0.180083,-0.131916,-0.131916
