You entered a buffer length of 100
0.670668,0.190212, Max:1.060801, Min:-0.007563
0.670668,0.199969, Max:1.060801, Min:-0.007563
0.694676,0.210150, Max:1.060801, Min:-0.007563
0.736691,0.220636, Max:1.060801, Min:-0.007563
0.784707,0.231124, Max:1.060801, Min:-0.007563
0.832723,0.241733, Max:1.060801, Min:-0.007563
0.880739,0.252282, Max:1.060801, Min:-0.007563
0.940760,0.263011, Max:1.060801, Min:-0.007563
0.988776,0.273502, Max:1.060801, Min:-0.007563
1.018786,0.283691, Max:1.060801, Min:-0.007563
1.036793,0.293516, Max:1.060801, Min:-0.007563
1.042794,0.303097, Max:1.060801, Min:-0.007563
1.024788,0.312136, Max:1.060801, Min:-0.007563
1.000780,0.321049, Max:1.060801, Min:-0.007563
0.940760,0.329661, Max:1.060801, Min:-0.007563
0.898746,0.338511, Max:1.060801, Min:-0.007563
0.874737,0.347482, Max:1.060801, Min:-0.007563
0.844727,0.356635, Max:1.060801, Min:-0.007563
0.832723,0.365910, Max:1.060801, Min:-0.007563
0.814717,0.375065, Max:1.060801, Min:-0.007563
0.784707,0.384280, Max:1.060801, Min:-0.007563
0.802713,0.394035, Max:1.060801, Min:-0.007563
0.796711,0.403556, Max:1.060801, Min:-0.007563
0.790709,0.412835, Max:1.060801, Min:-0.007563
0.796711,0.422711, Max:1.060801, Min:-0.007563
0.796711,0.432233, Max:1.060801, Min:-0.007563
0.790709,0.441751, Max:1.060801, Min:-0.007563
0.784707,0.451149, Max:1.060801, Min:-0.007563
0.772703,0.460487, Max:1.060801, Min:-0.007563
0.766701,0.469943, Max:1.060801, Min:-0.007563
0.754697,0.479281, Max:1.060801, Min:-0.007563
0.736691,0.488497, Max:1.060801, Min:-0.007563
0.724686,0.497773, Max:1.060801, Min:-0.007563
0.712682,0.507168, Max:1.060801, Min:-0.007563
0.706680,0.516686, Max:1.060801, Min:-0.007563
0.706680,0.526264, Max:1.060801, Min:-0.007563
0.706680,0.535903, Max:1.060801, Min:-0.007563
0.718684,0.545723, Max:1.060801, Min:-0.007563
0.724686,0.555364, Max:1.060801, Min:-0.007563
0.718684,0.564704, Max:1.060801, Min:-0.007563
0.700678,0.573920, Max:1.060801, Min:-0.007563
0.688674,0.583316, Max:1.060801, Min:-0.007563
0.670668,0.592533, Max:1.060801, Min:-0.007563
0.646660,0.601508, Max:1.060801, Min:-0.007563
0.610648,0.610361, Max:1.060801, Min:-0.007563
0.568633,0.619152, Max:1.060801, Min:-0.007563
0.544625,0.628183, Max:1.060801, Min:-0.007563
0.508613,0.637036, Max:1.060801, Min:-0.007563
0.478603,0.646128, Max:1.060801, Min:-0.007563
0.454595,0.655222, Max:1.060801, Min:-0.007563
0.442590,0.664496, Max:1.060801, Min:-0.007563
0.412580,0.673472, Max:1.060801, Min:-0.007563
0.394574,0.682564, Max:1.060801, Min:-0.007563
0.352560,0.691478, Max:1.060801, Min:-0.007563
0.334554,0.700631, Max:1.060801, Min:-0.007563
0.310546,0.709545, Max:1.060801, Min:-0.007563
0.286537,0.718877, Max:1.060801, Min:-0.007563
0.262529,0.727914, Max:1.060801, Min:-0.007563
0.244523,0.737127, Max:1.060801, Min:-0.007563
0.202509,0.746042, Max:1.060801, Min:-0.007563
0.208511,0.755675, Max:1.060801, Min:-0.007563
0.202509,0.765194, Max:1.060801, Min:-0.007563
0.214513,0.774953, Max:1.060801, Min:-0.007563
0.244523,0.785314, Max:1.060801, Min:-0.007563
0.286537,0.795741, Max:1.060801, Min:-0.007563
0.328552,0.806169, Max:1.060801, Min:-0.007563
0.364564,0.816537, Max:1.060801, Min:-0.007563
0.406578,0.826844, Max:1.060801, Min:-0.007563
0.430586,0.836850, Max:1.060801, Min:-0.007563
0.442590,0.846613, Max:1.060801, Min:-0.007563
0.442590,0.856134, Max:1.060801, Min:-0.007563
0.436588,0.865473, Max:1.060801, Min:-0.007563
0.412580,0.874629, Max:1.060801, Min:-0.007563
0.382570,0.883604, Max:1.060801, Min:-0.007563
0.358562,0.892637, Max:1.060801, Min:-0.007563
0.328552,0.901670, Max:1.060801, Min:-0.007563
0.304544,0.910763, Max:1.060801, Min:-0.007563
0.292539,0.920157, Max:1.060801, Min:-0.007563
0.292539,0.929795, Max:1.060801, Min:-0.007563
0.292539,0.939494, Max:1.060801, Min:-0.007563
0.316548,0.949435, Max:1.060801, Min:-0.007563
0.334554,0.956076, Max:1.060801, Min:-0.007563
0.364564,0.950561, Max:1.060801, Min:-0.007563
0.370566,0.944864, Max:1.060801, Min:-0.007563
0.382570,0.939165, Max:1.060801, Min:-0.007563
0.382570,0.933346, Max:1.060801, Min:-0.007563
0.388572,0.927586, Max:1.060801, Min:-0.007563
0.394574,0.921946, Max:1.060801, Min:-0.007563
0.394574,0.915948, Max:1.060801, Min:-0.007563
0.400576,0.910186, Max:1.060801, Min:-0.007563
0.412580,0.904486, Max:1.060801, Min:-0.007563
0.412580,0.898787, Max:1.060801, Min:-0.007563
0.454595,0.893689, Max:1.060801, Min:-0.007563
0.484605,0.888476, Max:1.060801, Min:-0.007563
0.526619,0.883262, Max:1.060801, Min:-0.007563
0.562631,0.878288, Max:1.060801, Min:-0.007563
0.592641,0.873017, Max:1.060801, Min:-0.007563
0.616650,0.867562, Max:1.060801, Min:-0.007563
0.616650,0.861866, Max:1.060801, Min:-0.007563
0.646660,0.856287, Max:1.060801, Min:-0.007563
0.634656,0.850109, Max:1.060801, Min:-0.007563
0.616650,0.843685, Max:1.060801, Min:-0.007563
0.580637,0.837019, Max:1.060801, Min:-0.007563
0.526619,0.830050, Max:1.060801, Min:-0.007563
0.472601,0.823138, Max:1.060801, Min:-0.007563
0.418582,0.816226, Max:1.060801, Min:-0.007563
0.376568,0.809495, Max:1.060801, Min:-0.007563
0.346558,0.803005, Max:1.060801, Min:-0.007563
0.322550,0.796758, Max:1.060801, Min:-0.007563
0.310546,0.790754, Max:1.060801, Min:-0.007563
0.328552,0.785232, Max:1.060801, Min:-0.007563
0.352560,0.780015, Max:1.060801, Min:-0.007563
0.406578,0.775341, Max:1.060801, Min:-0.007563
0.478603,0.770973, Max:1.060801, Min:-0.007563
0.562631,0.766788, Max:1.060801, Min:-0.007563
0.646660,0.762605, Max:1.060801, Min:-0.007563
0.724686,0.758241, Max:1.060801, Min:-0.007563
0.802713,0.753996, Max:1.060801, Min:-0.007563
0.880739,0.749632, Max:1.060801, Min:-0.007563
0.952764,0.745027, Max:1.060801, Min:-0.007563
1.006782,0.740239, Max:1.060801, Min:-0.007563
1.048797,0.735090, Max:1.060801, Min:-0.007563
1.066803,0.729576, Max:1.072805, Min:-0.007563
1.084809,0.723819, Max:1.084809, Min:-0.007563
1.060801,0.717520, Max:1.084809, Min:-0.007563
1.030791,0.710974, Max:1.084809, Min:-0.007563
0.982774,0.704247, Max:1.084809, Min:-0.007563
0.922754,0.696917, Max:1.084809, Min:-0.007563
0.856731,0.689641, Max:1.084809, Min:-0.007563
0.790709,0.682426, Max:1.084809, Min:-0.007563
0.706680,0.675031, Max:1.084809, Min:-0.007563
0.664666,0.668235, Max:1.084809, Min:-0.007563
0.610648,0.661325, Max:1.084809, Min:-0.007563
0.574635,0.654654, Max:1.084809, Min:-0.007563
0.568633,0.648885, Max:1.084809, Min:-0.007563
0.574635,0.643245, Max:1.084809, Min:-0.007563
0.598644,0.637907, Max:1.084809, Min:-0.007563
0.622652,0.632752, Max:1.084809, Min:-0.007563
0.688674,0.628019, Max:1.084809, Min:-0.007563
0.736691,0.623110, Max:1.084809, Min:-0.007563
0.796711,0.618559, Max:1.084809, Min:-0.007563
0.862733,0.613952, Max:1.084809, Min:-0.007563
0.916752,0.609105, Max:1.084809, Min:-0.007563
0.964768,0.604134, Max:1.084809, Min:-0.007563
1.006782,0.598863, Max:1.084809, Min:-0.007563
1.012784,0.593228, Max:1.084809, Min:-0.007563
1.012784,0.587350, Max:1.084809, Min:-0.007563
1.018786,0.581529, Max:1.084809, Min:-0.007563
1.012784,0.575409, Max:1.084809, Min:-0.007563
