You entered a buffer length of 100
-0.420916,0.005021, Max:1.499729, Min:-1.173520
-0.426937,0.007576, Max:1.499729, Min:-1.173520
-0.420916,0.010552, Max:1.499729, Min:-1.173520
-0.402854,0.013953, Max:1.499729, Min:-1.173520
-0.342646,0.018021, Max:1.499729, Min:-1.173520
-0.276416,0.022036, Max:1.499729, Min:-1.173520
-0.228250,0.025749, Max:1.499729, Min:-1.173520
-0.186104,0.029338, Max:1.499729, Min:-1.173520
-0.125896,0.033468, Max:1.499729, Min:-1.173520
-0.071708,0.037182, Max:1.499729, Min:-1.173520
-0.065687,0.040109, Max:1.499729, Min:-1.173520
-0.053646,0.043330, Max:1.499729, Min:-1.173520
-0.047625,0.045650, Max:1.499729, Min:-1.173520
-0.119875,0.047118, Max:1.499729, Min:-1.173520
-0.174062,0.048638, Max:1.499729, Min:-1.173520
-0.234271,0.050399, Max:1.499729, Min:-1.173520
-0.264375,0.052885, Max:1.499729, Min:-1.173520
-0.234271,0.056703, Max:1.499729, Min:-1.173520
-0.143958,0.061137, Max:1.499729, Min:-1.173520
-0.089771,0.064854, Max:1.499729, Min:-1.173520
-0.071708,0.067781, Max:1.499729, Min:-1.173520
-0.107833,0.069737, Max:1.499729, Min:-1.173520
-0.156000,0.071563, Max:1.499729, Min:-1.173520
-0.204166,0.073387, Max:1.499729, Min:-1.173520
-0.240291,0.075693, Max:1.499729, Min:-1.173520
-0.234271,0.078907, Max:1.499729, Min:-1.173520
-0.174062,0.083034, Max:1.499729, Min:-1.173520
-0.083750,0.087771, Max:1.499729, Min:-1.173520
0.024625,0.092816, Max:1.499729, Min:-1.173520
0.151063,0.098044, Max:1.499729, Min:-1.173520
0.241375,0.102492, Max:1.499729, Min:-1.173520
0.277500,0.105607, Max:1.499729, Min:-1.173520
0.223313,0.106782, Max:1.499729, Min:-1.173520
0.084834,0.106613, Max:1.499729, Min:-1.173520
-0.077729,0.106912, Max:1.499729, Min:-1.173520
-0.083750,0.109504, Max:1.499729, Min:-1.173520
-0.059666,0.113263, Max:1.499729, Min:-1.173520
0.054729,0.118719, Max:1.499729, Min:-1.173520
0.151063,0.122688, Max:1.499729, Min:-1.173520
0.120959,0.124895, Max:1.499729, Min:-1.173520
0.102896,0.127626, Max:1.499729, Min:-1.173520
0.163104,0.131748, Max:1.499729, Min:-1.173520
0.199229,0.134679, Max:1.499729, Min:-1.173520
0.126979,0.135912, Max:1.499729, Min:-1.173520
