You entered a buffer length of 20
-0.007563,-0.000756, Max:0.000000, Min:-0.007563
0.004442,0.001229, Max:0.016446, Min:-0.007563
0.034452,0.004851, Max:0.052458, Min:-0.007563
0.070464,0.009156, Max:0.094472, Min:-0.007563
0.094472,0.011994, Max:0.118480, Min:-0.007563
0.124482,0.014458, Max:0.130484, Min:-0.007563
0.136486,0.016004, Max:0.142488, Min:-0.007563
0.142488,0.016604, Max:0.142488, Min:-0.007563
0.154493,0.018056, Max:0.154493, Min:-0.007563
0.160495,0.018951, Max:0.160495, Min:-0.007563
0.160495,0.019518, Max:0.166497, Min:-0.007563
0.166497,0.020068, Max:0.166497, Min:-0.007563
0.166497,0.020318, Max:0.166497, Min:-0.007563
0.160495,0.019952, Max:0.166497, Min:-0.007563
0.172499,0.020456, Max:0.172499, Min:-0.007563
0.154493,0.019803, Max:0.172499, Min:-0.007563
0.148491,0.019693, Max:0.172499, Min:-0.007563
0.154493,0.020809, Max:0.172499, Min:-0.007563
0.172499,0.022588, Max:0.178501, Min:-0.007563
0.184503,0.014574, Max:0.184503, Min:-0.007563
0.220515,0.026778, Max:0.220515, Min:-0.007563
0.208511,0.037591, Max:0.232519, Min:-0.007563
0.250525,0.052237, Max:0.268531, Min:-0.007563
0.280535,0.066173, Max:0.298542, Min:-0.007563
0.316548,0.079475, Max:0.316548, Min:-0.007563
0.346558,0.094545, Max:0.364564, Min:-0.007563
0.388572,0.109703, Max:0.406578, Min:-0.007563
0.436588,0.126066, Max:0.466599, Min:-0.007563
0.478603,0.141889, Max:0.520617, Min:-0.007563
0.550627,0.159786, Max:0.586640, Min:-0.007563
0.616650,0.176887, Max:0.640658, Min:-0.007563
0.670668,0.193347, Max:0.694676, Min:-0.007563
0.724686,0.209475, Max:0.742692, Min:-0.007563
0.760699,0.223786, Max:0.772703, Min:-0.007563
0.784707,0.236806, Max:0.790709, Min:-0.007563
0.796711,0.247961, Max:0.796711, Min:-0.007563
0.778705,0.256921, Max:0.796711, Min:-0.007563
0.742692,0.263971, Max:0.796711, Min:-0.007563
0.706680,0.270626, Max:0.796711, Min:-0.007563
0.676670,0.245450, Max:0.796711, Min:-0.007563
0.616650,0.261597, Max:0.796711, Min:-0.007563
0.610648,0.281011, Max:0.796711, Min:-0.007563
0.580637,0.299388, Max:0.796711, Min:-0.007563
0.550627,0.317112, Max:0.796711, Min:-0.007563
0.508613,0.333904, Max:0.796711, Min:-0.007563
0.466599,0.350049, Max:0.796711, Min:-0.007563
0.406578,0.364961, Max:0.796711, Min:-0.007563
0.346558,0.379811, Max:0.796711, Min:-0.007563
0.280535,0.393758, Max:0.796711, Min:-0.007563
0.214513,0.408860, Max:0.796711, Min:-0.007563
0.166497,0.424921, Max:0.796711, Min:-0.007563
0.130484,0.442229, Max:0.796711, Min:-0.007563
0.094472,0.460200, Max:0.796711, Min:-0.007563
0.094472,0.480306, Max:0.796711, Min:-0.007563
0.070464,0.500517, Max:0.796711, Min:-0.007563
0.100474,0.525236, Max:0.796711, Min:-0.007563
0.142488,0.551080, Max:0.796711, Min:-0.007563
0.196507,0.578181, Max:0.796711, Min:-0.007563
0.262529,0.606245, Max:0.796711, Min:-0.007563
0.322550,0.626555, Max:0.796711, Min:-0.007563
0.400576,0.620968, Max:0.796711, Min:-0.007563
0.418582,0.613186, Max:0.796711, Min:-0.007563
0.436588,0.604695, Max:0.796711, Min:-0.007563
0.442590,0.594367, Max:0.796711, Min:-0.007563
0.448593,0.585747, Max:0.796711, Min:-0.007563
0.448593,0.575713, Max:0.796711, Min:-0.007563
0.436588,0.564408, Max:0.796711, Min:-0.007563
0.424584,0.553939, Max:0.796711, Min:-0.007563
0.454595,0.546513, Max:0.796711, Min:-0.007563
0.484605,0.539840, Max:0.796711, Min:-0.007563
0.520617,0.533804, Max:0.796711, Min:-0.007563
0.568633,0.528701, Max:0.796711, Min:-0.007563
0.604646,0.522144, Max:0.796711, Min:-0.007563
0.646660,0.516714, Max:0.796711, Min:-0.007563
0.688674,0.511041, Max:0.796711, Min:-0.007563
0.730688,0.505055, Max:0.796711, Min:-0.007563
0.766701,0.498754, Max:0.796711, Min:-0.007563
0.796711,0.491236, Max:0.802713, Min:-0.007563
0.808715,0.481857, Max:0.808715, Min:-0.007563
0.802713,0.461882, Max:0.808715, Min:-0.007563
0.790709,0.478889, Max:0.808715, Min:-0.007563
0.796711,0.498646, Max:0.808715, Min:-0.007563
0.778705,0.517340, Max:0.808715, Min:-0.007563
0.778705,0.536881, Max:0.808715, Min:-0.007563
0.778705,0.557064, Max:0.808715, Min:-0.007563
0.778705,0.577880, Max:0.808715, Min:-0.007563
0.814717,0.600828, Max:0.820719, Min:-0.007563
0.820719,0.621783, Max:0.832723, Min:-0.007563
0.838725,0.643837, Max:0.856731, Min:-0.007563
0.862733,0.665947, Max:0.874737, Min:-0.007563
0.886742,0.688360, Max:0.898746, Min:-0.007563
0.904748,0.709588, Max:0.904748, Min:-0.007563
0.922754,0.730456, Max:0.922754, Min:-0.007563
0.928756,0.751006, Max:0.928756, Min:-0.007563
0.922754,0.771240, Max:0.928756, Min:-0.007563
0.916752,0.789357, Max:0.928756, Min:-0.007563
0.856731,0.803468, Max:0.928756, Min:-0.007563
0.814717,0.819778, Max:0.928756, Min:-0.007563
0.826721,0.841601, Max:0.928756, Min:-0.007563
0.850729,0.841492, Max:0.928756, Min:-0.007563
0.934758,0.852590, Max:0.934758, Min:-0.007563
0.952764,0.863349, Max:0.964768, Min:-0.007563
0.982774,0.873790, Max:0.982774, Min:-0.007563
1.012784,0.886016, Max:1.024788, Min:-0.007563
1.042794,0.897131, Max:1.048797, Min:-0.007563
1.048797,0.906089, Max:1.054799, Min:-0.007563
1.042794,0.914040, Max:1.054799, Min:-0.007563
1.060801,0.923440, Max:1.060801, Min:-0.007563
1.060801,0.931113, Max:1.060801, Min:-0.007563
1.030791,0.936298, Max:1.060801, Min:-0.007563
0.994778,0.940459, Max:1.060801, Min:-0.007563
0.952764,0.943368, Max:1.060801, Min:-0.007563
0.886742,0.945014, Max:1.060801, Min:-0.007563
0.820719,0.946596, Max:1.060801, Min:-0.007563
0.766701,0.949076, Max:1.060801, Min:-0.007563
0.724686,0.953402, Max:1.060801, Min:-0.007563
0.694676,0.958420, Max:1.060801, Min:-0.007563
0.676670,0.964973, Max:1.060801, Min:-0.007563
0.670668,0.972503, Max:1.060801, Min:-0.007563
0.670668,0.987284, Max:1.060801, Min:-0.007563
0.718684,0.978720, Max:1.060801, Min:-0.007563
0.736691,0.970789, Max:1.060801, Min:-0.007563
0.784707,0.964091, Max:1.060801, Min:-0.007563
0.832723,0.958054, Max:1.060801, Min:-0.007563
0.880739,0.951750, Max:1.060801, Min:-0.007563
0.940760,0.946333, Max:1.060801, Min:-0.007563
