You entered a buffer length of 100
0.151890,-0.305490, Max:0.878464, Min:-0.334494
0.091843,-0.305964, Max:0.878464, Min:-0.334494
-0.004233,-0.306990, Max:0.878464, Min:-0.334494
-0.088300,-0.307540, Max:0.878464, Min:-0.334494
-0.118323,-0.307126, Max:0.878464, Min:-0.334494
-0.118323,-0.306161, Max:0.878464, Min:-0.334494
-0.118323,-0.305250, Max:0.878464, Min:-0.334494
-0.130333,-0.304701, Max:0.878464, Min:-0.334494
-0.160357,-0.304515, Max:0.878464, Min:-0.334494
-0.208395,-0.304573, Max:0.878464, Min:-0.334494
-0.262437,-0.304754, Max:0.878464, Min:-0.334494
-0.316480,-0.304876, Max:0.878464, Min:-0.334494
-0.358513,-0.304817, Max:0.878464, Min:-0.376527
-0.382532,-0.304396, Max:0.878464, Min:-0.400546
-0.412556,-0.303912, Max:0.878464, Min:-0.412556
-0.424565,-0.303066, Max:0.878464, Min:-0.424565
-0.394542,-0.301256, Max:0.878464, Min:-0.424565
-0.292461,-0.298176, Max:0.878464, Min:-0.424565
-0.178371,-0.295022, Max:0.878464, Min:-0.424565
-0.088300,-0.292589, Max:0.878464, Min:-0.424565
-0.052271,-0.291184, Max:0.878464, Min:-0.424565
-0.064281,-0.290629, Max:0.878464, Min:-0.424565
-0.088300,-0.290564, Max:0.878464, Min:-0.424565
-0.148347,-0.290563, Max:0.878464, Min:-0.424565
-0.172366,-0.290082, Max:0.878464, Min:-0.424565
-0.196385,-0.289597, Max:0.878464, Min:-0.424565
-0.226409,-0.289052, Max:0.878464, Min:-0.424565
-0.220404,-0.288266, Max:0.878464, Min:-0.424565
-0.238418,-0.287718, Max:0.878464, Min:-0.424565
-0.256433,-0.287352, Max:0.878464, Min:-0.424565
-0.292461,-0.287108, Max:0.878464, Min:-0.424565
-0.334494,-0.287046, Max:0.878464, Min:-0.424565
-0.370523,-0.286805, Max:0.878464, Min:-0.424565
-0.400546,-0.286502, Max:0.878464, Min:-0.424565
-0.412556,-0.285718, Max:0.878464, Min:-0.424565
-0.412556,-0.284690, Max:0.878464, Min:-0.424565
-0.382532,-0.283178, Max:0.878464, Min:-0.424565
